row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250506_CVOL_bk_mapp_00.mzML Peak height,20250506_CVOL_bk_mapp_01.mzML Peak height,20250506_CVOL_bk_mapp_02.mzML Peak height,20250506_CVOL_bk_mapp_02_20250508021707.mzML Peak height,20250506_CVOL_bk_mapp_pre_00.mzML Peak height,20250506_CVOL_bk_mapp_pre_01.mzML Peak height,20250506_CVOL_bk_mapp_pre_02.mzML Peak height,20250506_CVOL_dbgi_002251_02_01.mzML Peak height,20250506_CVOL_dbgi_002251_03_01.mzML Peak height,20250506_CVOL_dbgi_002251_04_01.mzML Peak height,20250506_CVOL_dbgi_002414_02_01.mzML Peak height,20250506_CVOL_dbgi_002414_03_01.mzML Peak height,20250506_CVOL_dbgi_002414_04_01.mzML Peak height,20250506_CVOL_dbgi_002560_02_01.mzML Peak height,20250506_CVOL_dbgi_002560_03_01.mzML Peak height,20250506_CVOL_dbgi_002560_04_01.mzML Peak height,20250506_CVOL_dbgi_002605_02_01.mzML Peak height,20250506_CVOL_dbgi_002605_03_01.mzML Peak height,20250506_CVOL_dbgi_002605_04_01.mzML Peak height,20250506_CVOL_dbgi_002893_02_01.mzML Peak height,20250506_CVOL_dbgi_002893_03_01.mzML Peak height,20250506_CVOL_dbgi_002893_04_01.mzML Peak height,20250506_CVOL_dbgi_002976_02_01.mzML Peak height,20250506_CVOL_dbgi_002976_03_01.mzML Peak height,20250506_CVOL_dbgi_002976_04_01.mzML Peak height,20250506_CVOL_dbgi_bk_DMSO_58.mzML Peak height,20250506_CVOL_dbgi_bk_MeOH-H2O_53.mzML Peak height,
11,328.9150063388013,0.36448586,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7959494E8,
12,225.01000888910065,0.36909947,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6.8946856E7,0,0,0,0,2.9102354E7,0,0,2.907638E7,0,0,2.978246E7,5.4594336E7,0,4.7381908E7,0,0,0,
13,167.0128876907951,0.36918926,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.364131E8,4.726547E8,4.9527795E8,7.819374E8,0,0,2.8525885E8,0,3.4948893E8,2.2515995E8,0,4.0313366E8,3.971088E8,4.550306E8,4.4174045E8,5.82248E8,0,0,
14,151.03538547988816,0.3694776,,,,,,,,,,,0,0,0,0,0,0,0,0,3.3702326E8,6.439757E8,5.9914906E8,2.5087477E8,3.1561427E8,0,0,2.8669664E8,0,3.3223997E8,0,7.3091066E8,5.9934496E8,5.6222464E8,8.7782566E8,5.003931E8,5.536454E8,0,0,
15,125.9864410112689,0.3703577,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.8680355E8,4.0845802E8,4.1895613E8,6.790608E8,0,0,2.3992938E8,0,2.8903882E8,0,0,3.405263E8,3.401969E8,4.0359792E8,3.9609498E8,5.2282022E8,0,0,
16,162.97372388403295,0.37168717,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.7725867E8,1.14421416E8,0,0,0,0,0,0,0,0,0,0,1.5280251E8,1.09489384E8,0,0,
17,204.00029335657752,0.37218615,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.4760302E8,0,2.368462E8,1.415485E8,0,0,0,0,0,0,0,0,0,0,1.9231768E8,1.2932795E8,0,0,
18,128.95084706393845,0.37235874,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5650836E7,
19,165.00683445761877,0.3724209,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.732119E7,0,0,0,
20,188.0227115149848,0.37289205,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.2151475E8,0,1.2924025E8,0,0,0,0,0,0,0,0,2.0806907E8,2.691127E8,8.46541E7,2.3394037E8,1.2909481E8,0,0,
21,255.94411046598736,0.37355337,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3.673168E8,0,0,0,0,0,0,0,0,0,0,1.3794678E8,2.1524462E8,0,0,
22,143.99693300397217,0.37471542,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.39259E8,0,0,0,0,0,0,0,0,0,8.133985E7,8.3644744E7,9.831843E7,0,0,
23,239.9665617054173,0.3778903,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4945426E8,0,0,
24,128.0194575216753,0.37820166,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0304664E7,0,0,0,0,
25,177.1387161397308,0.37968025,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.4615494E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,276.89651274209587,0.38023993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9784092E7,
27,304.8914056761163,0.38023993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6149972E7,
28,404.8158572864142,0.38023993,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9457664E7,
29,325.17577097508115,0.38290408,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3.0533334E8,0,2.0943773E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,130.96646760981778,0.3881524,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2860109E7,
31,171.99297563906757,0.3881524,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7159662E7,
32,176.9719590551068,0.39609188,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2836422E7,
33,186.9562826758344,0.39609188,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8377458.0,
34,176.09174610334256,0.40894988,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332992E8,1.6966686E8,2.1414379E8,0,0,0,0,0,
35,175.11753589442478,0.41440368,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.595189E7,0,0,0,0,0,
36,158.96139786419582,0.426333,,,,,,,,,,,0,0,0,0,0,1.0932332E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.664068E7,
37,148.0605225221401,0.42649883,,,,,,,,,,,0,0,0,0,0,0,0,2.7945152E8,0,1.0286766E8,0,0,8.738156E7,0,8.306652E7,0,3.695242E8,0,0,0,0,0,0,0,0,0,0,
38,184.07341627780514,0.42773888,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.659378E7,1.3750528E8,0,0,0,0,0,0,0,0,0,0,0,
39,160.09673002499437,0.4299636,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.101959E8,5.041983E8,4.3524102E8,0,0,0,0,0,
40,130.05001456293903,0.4300538,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0268456E7,0,0,0,0,0,0,0,0,0,0,0,0,
41,199.98781997251706,0.43004805,,,,,,,,,,,0,0,0,0,1.0401307E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0279372E7,
42,258.11008925826104,0.4300538,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0044908E8,0,0,0,0,0,0,0,0,0,0,0,0,
43,455.1158068794509,0.4300538,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.155105E8,0,0,0,0,0,0,0,0,0,0,0,0,
44,157.03533993841882,0.43137842,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1938981E7,0,0,0,0,0,0,0,0,0,
45,235.1652014976344,0.43185043,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.223064E8,2.1572832E8,3.1331126E8,0,0,
46,128.0706340788602,0.43258718,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9428936E7,7.550911E7,6.658235E7,0,0,0,0,0,
47,147.08418385610503,0.43258718,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60967E8,5.661148E8,5.1969818E8,0,0,0,0,0,
48,142.08614956829126,0.4338061,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8542239.0,2.670918E7,0,0,0,0,0,0,
49,146.08094161762097,0.43430525,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2157916E7,0,0,0,0,0,9.67859E9,8.251497E9,7.62222E9,0,0,0,0,0,
50,160.13293338412595,0.43788102,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1061718E7,0,0,0,0,0,0,
51,174.11244680637165,0.439279,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.684286E8,0,0,0,0,0,0,0,2.0619472E8,7.441565E8,0,0,0,0,0,
52,138.05487476870195,0.4395553,,,,,,,,,,,0,0,0,0,0,0,0,1.3649992E9,1.0531521E9,0,0,0,0,0,0,0,0,0,0,9.136283E8,6.1823277E8,0,0,0,0,0,0,
53,204.08671431460962,0.44150236,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1667164E7,0,0,
54,381.0789024751321,0.44339108,,,,,,,,,,,0,0,0,0,0,0,0,2.5833731E8,3.6624278E8,4.8503706E8,8.730325E7,2.4643595E8,4.5909952E8,2.379138E8,2.9876218E8,0,4.7974874E8,5.2587232E8,0,2.4793254E8,1.9877896E8,3.79891E8,1.9150394E8,4.668428E8,3.5840246E8,0,0,
55,126.09138492866305,0.44582033,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5329442E7,5.101464E7,0,0,0,0,0,
56,177.10228049036752,0.44778174,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3.7675604E7,2.9374892E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,172.09659983505662,0.44833085,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0162366E9,7.510165E8,9.271836E8,0,0,0,0,0,
58,543.1319335096258,0.44892487,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.800604E7,0,2.4704412E7,6.287181E7,0,0,0,0,0,0,0,0,0,
59,365.10514502551166,0.45060024,,,,,,,,,,,0,0,0,0,0,1.2876745E8,0,8.186323E7,7.938948E7,5.0728444E7,8.695174E7,8.566289E7,0,0,5.713683E7,0,8.428136E7,7.267555E7,0,5.812365E7,0,0,0,0,0,0,0,
60,144.10186338753797,0.45103627,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8.304437E7,0,0,0,0,0,0,0,0,1.690063E8,2.3009485E8,4.3206896E8,0,0,0,0,0,
61,360.14968877031276,0.45233002,,,,,,,,,,,0,0,0,0,0,1.3940587E8,0,4.1015158E8,2.6814995E8,0,4.1206198E8,0,0,2.5859762E8,2.1927894E8,1.9969E8,4.4307725E8,3.3407334E8,0,0,0,0,2.2716485E8,0,0,0,0,
62,156.10198201273187,0.45239687,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0140942E7,2.754867E7,0,0,0,0,3.757067E7,2.4502472E7,2.120907E7,0,0,0,0,0,
63,127.03911698174306,0.45367187,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8181524E7,0,0,0,0,0,0,0,0,0,0,
64,522.2026087447787,0.45515528,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6549028E7,0,0,0,0,0,0,0,0,0,
65,527.1581235031363,0.45515528,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5441594E7,0,0,0,0,0,0,0,0,0,
66,179.1178978535388,0.45683864,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.8121516E7,4.722588E7,4.5501628E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,303.8834525279168,0.46062687,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2132872E7,
68,330.1389149494281,0.46121845,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5531224E8,0,0,0,0,0,0,0,
69,158.11745254548438,0.46373358,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4471496E7,8.400237E7,4.2228988E7,0,0,0,8.2331386E8,1.3555332E9,2.3783365E9,0,0,0,0,0,
70,140.1068647484508,0.46549934,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.601544E7,1.369438E8,0,0,0,0,0,
71,154.09759391506492,0.46552607,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.637512E8,0,0,0,0,
72,186.11230613585454,0.46669665,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.815581E8,3.311253E8,2.3924533E8,0,0,0,0,0,
73,177.13855135622174,0.46702334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.554343E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,149.1072575692582,0.4682202,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.1798934E9,1.2075524E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,136.07573416370607,0.4684298,,,,,,,,,,,0,0,0,0,0,0,0,0,1.3256248E8,8.811771E7,0,0,0,0,0,0,0,0,0,0,5.4761056E7,0,0,0,0,0,0,
76,182.11744087946286,0.46931887,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.160321E8,7.0026586E8,4.2547485E8,0,0,0,0,0,
77,136.0618704358627,0.46956342,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2211972E7,0,0,0,0,0,0,0,0,0,0,
78,314.12292638960935,0.46954933,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.234867E7,0,0,0,0,0,0,0,0,0,0,0,0,
79,130.0651757796539,0.4699566,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3.699568E8,4.1556387E8,4.510451E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,132.08078388977546,0.4699566,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.2423946E9,1.3633389E9,1.5206435E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,120.08091296455217,0.47022635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.6356132E7,0,7.357782E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,164.12602218660487,0.47022635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.5560746E8,0,4.6450733E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,311.159732733797,0.47022635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4.2724292E7,0,6.1939628E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,343.1648990005739,0.47022635,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5.3873148E7,0,5.671605E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,337.08916190015873,0.47105917,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2442446E7,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,328.1751468399002,0.47184527,,,,,,,,,,,0,0,0,0,0,0,0,5.4588685E8,3.7877872E8,4.455437E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,216.12285578214804,0.47316104,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8511924E7,3.9337004E7,0,0,0,0,0,0,
88,273.96223645159864,0.47517663,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5230857E7,9.6427816E7,0,
89,144.06545971417302,0.47730863,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4765172E7,1.2676109E7,0,0,0,0,0,
90,319.185859663411,0.4773045,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2227779E8,1.1268384E8,0,0,0,0,0,
91,180.1017420071709,0.47743678,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5149984E7,0,0,0,0,0,0,0,0,0,0,0,0,
92,129.01284942221898,0.47745073,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.1567134E7,0,0,0,0,1.1876789E7,0,0,0,0,0,0,0,0,0,0,0,0,
93,144.98782469923427,0.47856638,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.9340872E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3080363E7,1.9457586E7,0,
94,163.12276557048529,0.47890332,,,,,,,,,,,0,0,0,0,0,0,0,0,2.0637336E7,0,4.0954655E9,3.5180334E9,4.1234414E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,308.0908024210444,0.47896954,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6076068E7,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,240.98730609616416,0.4793876,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.4185516E7,0,0,1.9156078E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,225.00974518214633,0.48128414,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.1753406E7,0,0,0,0,0,0,0,0,0,0,2.4317212E7,0,0,0,0,0,0,
98,169.01800217956557,0.48262873,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.8344308E7,0,0,0,0,2.3615894E7,0,0,0,0,0,2.5010796E7,0,0,0,0,0,0,
99,241.1365327571757,0.48323253,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.10676344E8,1.24621496E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,142.12258184482886,0.483885,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3408753E9,1.8096328E9,0,0,0,0,3.1777744E8,1.5540738E8,2.2943702E8,0,0,0,0,0,
101,130.08637168550968,0.48414814,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4009138E8,5.2482572E7,0,0,0,0,0,7.727176E7,1.5974904E8,0,0,
102,168.0198345811499,0.48501703,,,,,,,,,,,0,0,0,0,0,0,0,0,3.2093374E7,1.21938616E8,0,2.4188314E7,2.9932554E7,0,7.5042616E7,0,0,3.101832E7,0,0,8.3266216E7,4.339091E7,0,0,3.95208E7,0,0,
103,187.99855524943945,0.48511565,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4358813E7,0,
104,137.00159352992102,0.48522472,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5.89818E7,0,0,0,0,0,0,0,0,0,0,1.785954E7,0,0,0,0,0,0,
105,176.51022073763465,0.48534584,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.7511464E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,176.00866789100857,0.48589933,,,,,,,,,,,0,0,0,0,0,0,0,0,2.9342952E7,1.8642107E8,0,3.6002452E7,1.2767936E8,0,4.081832E7,1.4227013E7,0,3.0724372E7,0,0,6.857312E7,5.7293812E7,0,5.0310976E7,6.771474E7,1.7916238E7,0,
107,332.1335936115384,0.48673213,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93032E7,0,0,0,0,0,0,0,0,0,
108,222.0607293115858,0.4868945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0283779E8,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,147.0916286790258,0.48716897,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,7.3594456E7,7.7550136E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,200.1278236860776,0.48726586,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.513642E9,4.929793E9,0,9552909.0,0,0,0,
111,162.07591574734127,0.48768613,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5517482E8,5.726192E8,4.5723526E8,0,0,0,0,0,
112,168.10178368595925,0.4876875,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.630318E7,7.855396E7,7.702725E7,0,0,0,0,0,
113,168.52051416388952,0.4878801,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2.3534752E7,0,0,0,0,1.516371E7,0,0,0,0,0,1.5719321E7,0,0,0,0,0,0,
114,161.10735193060736,0.48833147,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.185086E8,1.3854283E8,8.236386E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,229.1548894341903,0.4894342,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.592196E7,0,0,0,0,
116,453.1583240910921,0.4894342,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4118748E7,0,0,0,0,
117,184.99489966910448,0.4899791,,,,,,,,,,,0,0,0,0,0,0,0,0,8895257.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,144.1382733513306,0.49293885,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.323035E7,2.5204578E7,2.5344498E7,0,0,0,0,0,
119,303.02361016001464,0.493137,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.6631477E7,0,0,0,0,1.2429198E7,0,0,0,0,0,1.5046016E7,0,0,0,0,0,0,
120,227.01606361672327,0.49485695,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9952988E7,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,244.12919791893884,0.4974279,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.234541E8,0,0,0,0,
122,179.0169943439829,0.498378,,,,,,,,,,,0,0,0,0,0,0,0,0,4.384953E7,4.5820556E7,0,4.2329612E7,3.865029E7,0,4.144381E7,2.320986E7,0,4.516138E7,0,0,4.5906948E7,3.3555612E7,0,4.220319E7,3.909852E7,6.2845132E7,0,
123,229.9744829196643,0.49856898,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7958686.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,277.97161086452627,0.49856898,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.4262079E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,306.99688249236857,0.49856898,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1.3526808E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,321.9613574789298,0.49856898,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.866648E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,144.0807787019503,0.49898553,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.2030384E8,7.0936216E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
